,patent_no,url,title,issue_date,date,num_patent,num_inventor,num_pc,num_npc,num_rb,num_class,num_le
139,9512331,https://www.google.com/patents/US9512331,"Surface treatment agent for zinc or zinc alloy coated steel sheet, zinc or zinc alloy coated steel sheet, and method of producing the steel sheet",12/6/16,6-Dec-16,9997,5,22,2,0,23,1
140,9511454,https://www.google.com/patents/US9511454,Welding activated flux for structural alloy steels,12/6/16,6-Dec-16,9996,2,3,1,0,10,1
141,9509014,https://www.google.com/patents/US9509014,Galvanic cell having a lithium metal or an alloy comprising a lithium metal as anode material and an electrolyte having lithium . . . complex salt,11/29/16,29-Nov-16,9995,4,11,0,0,21,0
142,9508990,https://www.google.com/patents/US9508990,Si-based-alloy anode material,11/29/16,29-Nov-16,9994,3,26,3,0,18,1
143,9508462,https://www.google.com/patents/US9508462,Sn-coated copper alloy strip having excellent heat resistance,11/29/16,29-Nov-16,9993,1,25,1,0,9,1
144,9506421,https://www.google.com/patents/US9506421,Cylinder liner and cast iron alloy,11/29/16,29-Nov-16,9992,1,7,3,0,8,2
145,9506296,https://www.google.com/patents/US9506296,Drill bit alloy,11/29/16,29-Nov-16,9991,1,10,1,0,12,0
146,9506163,https://www.google.com/patents/US9506163,Method of electroplating with Sn-alloy and apparatus of electroplating with Sn-alloy,11/29/16,29-Nov-16,9990,2,4,3,0,12,1
147,9506161,https://www.google.com/patents/US9506161,Surface treatment of a magnesium alloy,11/29/16,29-Nov-16,9989,5,11,0,0,5,1
148,9506134,https://www.google.com/patents/US9506134,Alloy strip material and process for making same,11/29/16,29-Nov-16,9988,1,27,10,0,6,2
149,9506133,https://www.google.com/patents/US9506133,Bulk metallic glass forming alloy,11/29/16,29-Nov-16,9987,2,7,8,0,8,1
150,9499914,https://www.google.com/patents/US9499914,Method for manufacturing zinc or zinc alloy coated steel sheet and zinc or zinc alloy coated steel sheet manufactured by the method,11/22/16,22-Nov-16,9986,3,30,9,0,21,1
151,9499899,https://www.google.com/patents/US9499899,"Systems, methods, and apparatus for production coatings of low-emissivity glass including a ternary alloy",11/22/16,22-Nov-16,9985,8,9,2,0,31,4
152,9499891,https://www.google.com/patents/US9499891,Zirconium-based alloy metallic glass and method for forming a zirconium-based alloy metallic glass,11/22/16,22-Nov-16,9984,5,8,10,0,9,2
